появление,NOUN
ООН,PROPN
было,AUX
обусловлено,VERB
целым,ADJ
рядом,NOUN
объективных,ADJ
факторов,NOUN
военно,ADJ
стратегического,ADJ
политического,ADJ
экономического,ADJ
развития,NOUN
человеческого,ADJ
общества,NOUN
конца,NOUN
второго,ADJ
тысячелетия,NOUN
создание,NOUN
ООН,PROPN
явилось,VERB
воплощением,NOUN
извечной,ADJ
мечты,NOUN
человечества,NOUN
о,ADP
таком,DET
устройстве,NOUN
и,CCONJ
организации,NOUN
международного,ADJ
общежития,NOUN
которые,PRON
избавили,VERB
бы,AUX
человечество,NOUN
от,ADP
бесконечности,NOUN
череды,NOUN
войн,NOUN
и,CCONJ
обеспечили,VERB
бы,AUX
мирные,ADJ
условия,NOUN
жизни,NOUN
народов,NOUN
их,PRON
поступательное,ADJ
продвижение,NOUN
по,ADP
пути,NOUN
социально,ADJ
экономического,ADJ
прогресса,NOUN
процветания,NOUN
и,CCONJ
развития,NOUN
свободного,ADJ
от,ADP
страха,NOUN
за,ADP
будущее,NOUN
начало,NOUN
обсуждению,NOUN
и,CCONJ
разработке,NOUN
проблемы,NOUN
всеобщей,ADJ
организации,NOUN
труда,NOUN
и,CCONJ
безопасности,NOUN
положили,VERB
атлантическая,ADJ
партия,NOUN
подписанная,VERB
президентом,NOUN
США,PROPN
Ф,PROPN
Д,PROPN
Рузвельтом,NOUN
и,CCONJ
премьер,NOUN
министром,NOUN
Великобритании,PROPN
Гергелем,PROPN
14,NUM
августа,NOUN
1941,NUM
г,NOUN
и,CCONJ
Декларация,NOUN
правительства,NOUN
СССР,PROPN
на,ADP
межсоюзной,ADJ
конференции,NOUN
в,ADP
Лондоне,PROPN
24,NUM
сентября,NOUN
1941,NUM
г,NOUN
в,ADP
которой,PRON
в,ADP
первые,NUM
была,AUX
сформулирована,VERB
чрезвычайно,ADV
важная,ADJ
задача,NOUN
стоявшая,VERB
перед,ADP
миролюбивыми,ADJ
государствами,NOUN
а,CCONJ
именно,ADV
определить,INFV
пути,NOUN
и,CCONJ
средства,NOUN
для,ADP
организации,NOUN
международных,ADJ
отношений,NOUN
и,CCONJ
послевоенного,ADJ
устройства,NOUN
мира,NOUN
первым,ADJ
межправительственным,ADJ
документом,NOUN
принятым,VERB
в,ADP
годы,NOUN
второй,ADJ
мировой,ADJ
войны,NOUN
в,ADP
котором,PRON
выдвигалась,VERB
идея,NOUN
создания,NOUN
новой,ADJ
международной,ADJ
организации,NOUN
безопасности,NOUN
была,AUX
декларация,NOUN
правительства,NOUN
советского,ADJ
союза,NOUN
и,CCONJ
правительство,NOUN
польской,ADJ
республики,NOUN
о,ADP
дружбе,NOUN
и,CCONJ
взаимопомощи,NOUN
подписанная,VERB
в,ADP
Москве,PROPN
4,NUM
декабря,NOUN
1941,NUM
г,NOUN
в,ADP
ней,PRON
указывалось,VERB
что,SCONJ
обеспечение,NOUN
может,VERB
прочного,ADJ
и,CCONJ
справедливого,ADJ
мире,NOUN
может,VERB
быть,AUX
достигнуто,VERB
только,ADV
новой,ADJ
организацией,NOUN
международных,ADJ
отношений,NOUN
основанной,VERB
не,PART
объединением,NOUN
демократических,ADJ
стран,NOUN
в,ADP
прочный,ADJ
союз,NOUN
при,ADP
создании,NOUN
такой,DET
организации,NOUN
решающим,VERB
моментом,NOUN
должно,VERB
быть,AUX
уважение,NOUN
к,ADP
международному,ADJ
праву,NOUN
поддержанному,VERB
коллективной,ADJ
вооруженной,ADJ
силой,NOUN
всех,DET
Союзных,ADJ
государств,NOUN
в,ADP
ходе,NOUN
работы,NOUN
Конференции,NOUN
в,ADP
Сан-Франциско,PROPN
25,NUM
апреля,NOUN
1945,NUM
г,NOUN
был,VERB
подготовлен,VERB
текст,NOUN
устава,NOUN
ООН,PROPN
который,PRON
был,AUX
подписан,VERB
26,NUM
июня,NOUN
1945,NUM
г,NOUN
